# This is a continuation of trace file C:\Users\Asus\AppData\Local\1C\1cedtstart\projects\Training Development Management\.metadata\trace.log.bak_7
# version: 1.1
# verbose: true
# Time of creation: 2025-06-04 15:32:03.007
| pool-313-thread-6 | 2025-06-04 15:32:03.042 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/ReportMailingState/ReportMailingState.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@ed4f0ee2, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@53c0a57f |
| pool-313-thread-6 | 2025-06-04 15:32:03.043 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/ReportMailingState/ReportMailingState.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@4f9974f2, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@53c0a57f |
| pool-313-thread-6 | 2025-06-04 15:32:03.043 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/ReportMailingState/ReportMailingState.mdo, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@53c0a57f, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/CommonPicture.ReportMailingState#/] |
| pool-313-thread-6 | 2025-06-04 15:32:03.043 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Adding configuration to update list to fix UUID changing issue for all projects without support information: bm://TrainingAndDevelopmentManagement/Configuration#/ |
| pool-313-thread-6 | 2025-06-04 15:32:03.043 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/ReportMailingState/ReportMailingState.mdo, originally changed objects=[com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@53c0a57f, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@ed4f0ee2, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@4f9974f2], resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/CommonPicture.ReportMailingState#/, bm://TrainingAndDevelopmentManagement/Configuration#/] |
| pool-313-thread-2 | 2025-06-04 15:32:18.049 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | File has been saved (L/TrainingAndDevelopmentManagement/src/CommonPictures/RedRightArrow/RedRightArrow.mdo) with a list of changed objects, going to determine list of what to update on infobase side: objects=[com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@f70cbd67, com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@c799702f, com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@368c68d2] |
| pool-313-thread-2 | 2025-06-04 15:32:18.050 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/RedRightArrow/RedRightArrow.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@f70cbd67, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@c799702f |
| pool-313-thread-2 | 2025-06-04 15:32:18.050 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/RedRightArrow/RedRightArrow.mdo, changed object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@c799702f, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@c799702f |
| pool-313-thread-2 | 2025-06-04 15:32:18.051 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined top object to calculate what to update in infobase: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/RedRightArrow/RedRightArrow.mdo, changed object=com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@368c68d2, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@c799702f |
| pool-313-thread-2 | 2025-06-04 15:32:18.051 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/CommonPictures/RedRightArrow/RedRightArrow.mdo, top object=com._1c.g5.v8.dt.metadata.mdclass.impl.CommonPictureImpl@c799702f, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/CommonPicture.RedRightArrow#/] |
